GCF_016757555.1,GCF_900478295.1,GCF_021729605.1,GCF_017821635.1,GCF_016755675.1
GCF_016757555.1;protein_1365,GCF_900478295.1;protein_1572,GCF_021729605.1;protein_1367,GCF_017821635.1;protein_1438,GCF_016755675.1;protein_1374
GCF_016757555.1;protein_1366,GCF_900478295.1;protein_1573,GCF_021729605.1;protein_1368,GCF_017821635.1;protein_1437,GCF_016755675.1;protein_1375
GCF_016757555.1;protein_1367,GCF_900478295.1;protein_1574,GCF_021729605.1;protein_1369,GCF_017821635.1;protein_1436,GCF_016755675.1;protein_1376
GCF_016757555.1;protein_1368,GCF_900478295.1;protein_1575,GCF_021729605.1;protein_1370,GCF_017821635.1;protein_1435,GCF_016755675.1;protein_1377
GCF_016757555.1;protein_1369,GCF_900478295.1;protein_1576,GCF_021729605.1;protein_1371,GCF_017821635.1;protein_1434,GCF_016755675.1;protein_1378
GCF_016757555.1;protein_137,GCF_900478295.1;protein_328,GCF_021729605.1;protein_133,GCF_017821635.1;protein_139,GCF_016755675.1;protein_136
GCF_016757555.1;protein_1370,GCF_900478295.1;protein_1577,GCF_021729605.1;protein_1372,GCF_017821635.1;protein_1433,GCF_016755675.1;protein_1379
GCF_016757555.1;protein_1371,GCF_900478295.1;protein_1578,GCF_021729605.1;protein_1373,GCF_017821635.1;protein_1432,GCF_016755675.1;protein_1380
GCF_016757555.1;protein_1372,GCF_900478295.1;protein_1579,GCF_021729605.1;protein_1374,GCF_017821635.1;protein_1431,GCF_016755675.1;protein_1381
GCF_016757555.1;protein_1373,GCF_900478295.1;protein_1580,GCF_021729605.1;protein_1375,GCF_017821635.1;protein_1430,GCF_016755675.1;protein_1382
GCF_016757555.1;protein_1374,GCF_900478295.1;protein_1581,GCF_021729605.1;protein_1376,GCF_017821635.1;protein_1429,GCF_016755675.1;protein_1383
GCF_016757555.1;protein_1375,GCF_900478295.1;protein_1582,GCF_021729605.1;protein_1377,GCF_017821635.1;protein_1428,GCF_016755675.1;protein_1384
GCF_016757555.1;protein_1377,GCF_900478295.1;protein_74,GCF_021729605.1;protein_1379,GCF_017821635.1;protein_1426,GCF_016755675.1;protein_1386
GCF_016757555.1;protein_1379,GCF_900478295.1;protein_72,GCF_021729605.1;protein_1381,GCF_017821635.1;protein_1424,GCF_016755675.1;protein_1388
GCF_016757555.1;protein_138,GCF_900478295.1;protein_329,GCF_021729605.1;protein_134,GCF_017821635.1;protein_140,GCF_016755675.1;protein_137
GCF_016757555.1;protein_1380,GCF_900478295.1;protein_71,GCF_021729605.1;protein_1382,GCF_017821635.1;protein_1423,GCF_016755675.1;protein_1389
GCF_016757555.1;protein_1381,GCF_900478295.1;protein_70,GCF_021729605.1;protein_1383,GCF_017821635.1;protein_1422,GCF_016755675.1;protein_1390
GCF_016757555.1;protein_1382,GCF_900478295.1;protein_69,GCF_021729605.1;protein_1384,GCF_017821635.1;protein_1421,GCF_016755675.1;protein_1391
GCF_016757555.1;protein_1383,GCF_900478295.1;protein_68,GCF_021729605.1;protein_1385,GCF_017821635.1;protein_1420,GCF_016755675.1;protein_1392
GCF_016757555.1;protein_1384,GCF_900478295.1;protein_67,GCF_021729605.1;protein_1386,GCF_017821635.1;protein_1419,GCF_016755675.1;protein_1393
GCF_016757555.1;protein_1385,GCF_900478295.1;protein_66,GCF_021729605.1;protein_1387,GCF_017821635.1;protein_1418,GCF_016755675.1;protein_1399
GCF_016757555.1;protein_1386,GCF_900478295.1;protein_65,GCF_021729605.1;protein_1388,GCF_017821635.1;protein_1417,GCF_016755675.1;protein_1400
GCF_016757555.1;protein_1387,GCF_900478295.1;protein_64,GCF_021729605.1;protein_1389,GCF_017821635.1;protein_1416,GCF_016755675.1;protein_1401
GCF_016757555.1;protein_1388,GCF_900478295.1;protein_63,GCF_021729605.1;protein_1390,GCF_017821635.1;protein_1415,GCF_016755675.1;protein_1402
GCF_016757555.1;protein_1389,GCF_900478295.1;protein_62,GCF_021729605.1;protein_1391,GCF_017821635.1;protein_1414,GCF_016755675.1;protein_1403
GCF_016757555.1;protein_139,GCF_900478295.1;protein_330,GCF_021729605.1;protein_135,GCF_017821635.1;protein_141,GCF_016755675.1;protein_138
GCF_016757555.1;protein_1390,GCF_900478295.1;protein_61,GCF_021729605.1;protein_1392,GCF_017821635.1;protein_1413,GCF_016755675.1;protein_1404
GCF_016757555.1;protein_1391,GCF_900478295.1;protein_60,GCF_021729605.1;protein_1393,GCF_017821635.1;protein_1412,GCF_016755675.1;protein_1405
GCF_016757555.1;protein_1392,GCF_900478295.1;protein_59,GCF_021729605.1;protein_1394,GCF_017821635.1;protein_1411,GCF_016755675.1;protein_1406
GCF_016757555.1;protein_1393,GCF_900478295.1;protein_58,GCF_021729605.1;protein_1395,GCF_017821635.1;protein_1410,GCF_016755675.1;protein_1407
GCF_016757555.1;protein_1398,GCF_900478295.1;protein_55,GCF_021729605.1;protein_1398,GCF_017821635.1;protein_1407,GCF_016755675.1;protein_1411
GCF_016757555.1;protein_1399,GCF_900478295.1;protein_54,GCF_021729605.1;protein_1399,GCF_017821635.1;protein_1406,GCF_016755675.1;protein_1412
GCF_016757555.1;protein_14,GCF_900478295.1;protein_201,GCF_021729605.1;protein_14,GCF_017821635.1;protein_14,GCF_016755675.1;protein_13
GCF_016757555.1;protein_140,GCF_900478295.1;protein_331,GCF_021729605.1;protein_136,GCF_017821635.1;protein_142,GCF_016755675.1;protein_139
GCF_016757555.1;protein_1400,GCF_900478295.1;protein_53,GCF_021729605.1;protein_1400,GCF_017821635.1;protein_1405,GCF_016755675.1;protein_1413
GCF_016757555.1;protein_1401,GCF_900478295.1;protein_52,GCF_021729605.1;protein_1401,GCF_017821635.1;protein_1404,GCF_016755675.1;protein_1414
GCF_016757555.1;protein_1402,GCF_900478295.1;protein_51,GCF_021729605.1;protein_1402,GCF_017821635.1;protein_1403,GCF_016755675.1;protein_1415
GCF_016757555.1;protein_1403,GCF_900478295.1;protein_50,GCF_021729605.1;protein_1403,GCF_017821635.1;protein_1402,GCF_016755675.1;protein_1416
GCF_016757555.1;protein_1404,GCF_900478295.1;protein_49,GCF_021729605.1;protein_1404,GCF_017821635.1;protein_1401,GCF_016755675.1;protein_1417
GCF_016757555.1;protein_1405,GCF_900478295.1;protein_48,GCF_021729605.1;protein_1405,GCF_017821635.1;protein_1400,GCF_016755675.1;protein_1418
GCF_016757555.1;protein_1406,GCF_900478295.1;protein_47,GCF_021729605.1;protein_1406,GCF_017821635.1;protein_1399,GCF_016755675.1;protein_1419
GCF_016757555.1;protein_1407,GCF_900478295.1;protein_46,GCF_021729605.1;protein_1407,GCF_017821635.1;protein_1398,GCF_016755675.1;protein_1420
GCF_016757555.1;protein_1408,GCF_900478295.1;protein_45,GCF_021729605.1;protein_1408,GCF_017821635.1;protein_1397,GCF_016755675.1;protein_1421
GCF_016757555.1;protein_1409,GCF_900478295.1;protein_44,GCF_021729605.1;protein_1409,GCF_017821635.1;protein_1396,GCF_016755675.1;protein_1422
GCF_016757555.1;protein_141,GCF_900478295.1;protein_332,GCF_021729605.1;protein_137,GCF_017821635.1;protein_143,GCF_016755675.1;protein_140
GCF_016757555.1;protein_1410,GCF_900478295.1;protein_43,GCF_021729605.1;protein_1410,GCF_017821635.1;protein_1395,GCF_016755675.1;protein_1423
GCF_016757555.1;protein_1411,GCF_900478295.1;protein_42,GCF_021729605.1;protein_1411,GCF_017821635.1;protein_1394,GCF_016755675.1;protein_1424
GCF_016757555.1;protein_1412,GCF_900478295.1;protein_41,GCF_021729605.1;protein_1412,GCF_017821635.1;protein_1393,GCF_016755675.1;protein_1425
GCF_016757555.1;protein_1413,GCF_900478295.1;protein_40,GCF_021729605.1;protein_1413,GCF_017821635.1;protein_1392,GCF_016755675.1;protein_1426
GCF_016757555.1;protein_1414,GCF_900478295.1;protein_39,GCF_021729605.1;protein_1414,GCF_017821635.1;protein_1391,GCF_016755675.1;protein_1427
GCF_016757555.1;protein_1415,GCF_900478295.1;protein_38,GCF_021729605.1;protein_1415,GCF_017821635.1;protein_1390,GCF_016755675.1;protein_1428
GCF_016757555.1;protein_1416,GCF_900478295.1;protein_37,GCF_021729605.1;protein_1416,GCF_017821635.1;protein_1389,GCF_016755675.1;protein_1429
GCF_016757555.1;protein_1417,GCF_900478295.1;protein_36,GCF_021729605.1;protein_1417,GCF_017821635.1;protein_1388,GCF_016755675.1;protein_1430
GCF_016757555.1;protein_1418,GCF_900478295.1;protein_35,GCF_021729605.1;protein_1418,GCF_017821635.1;protein_1387,GCF_016755675.1;protein_1431
GCF_016757555.1;protein_1419,GCF_900478295.1;protein_34,GCF_021729605.1;protein_1419,GCF_017821635.1;protein_1386,GCF_016755675.1;protein_1432
GCF_016757555.1;protein_142,GCF_900478295.1;protein_333,GCF_021729605.1;protein_138,GCF_017821635.1;protein_144,GCF_016755675.1;protein_141
GCF_016757555.1;protein_1420,GCF_900478295.1;protein_33,GCF_021729605.1;protein_1420,GCF_017821635.1;protein_1385,GCF_016755675.1;protein_1433
GCF_016757555.1;protein_1421,GCF_900478295.1;protein_32,GCF_021729605.1;protein_1421,GCF_017821635.1;protein_1384,GCF_016755675.1;protein_1434
GCF_016757555.1;protein_1422,GCF_900478295.1;protein_31,GCF_021729605.1;protein_1422,GCF_017821635.1;protein_1383,GCF_016755675.1;protein_1435
GCF_016757555.1;protein_1423,GCF_900478295.1;protein_30,GCF_021729605.1;protein_1423,GCF_017821635.1;protein_1382,GCF_016755675.1;protein_1436
GCF_016757555.1;protein_1427,GCF_900478295.1;protein_25,GCF_021729605.1;protein_1427,GCF_017821635.1;protein_1379,GCF_016755675.1;protein_1439
GCF_016757555.1;protein_1428,GCF_900478295.1;protein_24,GCF_021729605.1;protein_1428,GCF_017821635.1;protein_1378,GCF_016755675.1;protein_1440
GCF_016757555.1;protein_1429,GCF_900478295.1;protein_23,GCF_021729605.1;protein_1429,GCF_017821635.1;protein_1377,GCF_016755675.1;protein_1441
GCF_016757555.1;protein_143,GCF_900478295.1;protein_334,GCF_021729605.1;protein_139,GCF_017821635.1;protein_145,GCF_016755675.1;protein_142
GCF_016757555.1;protein_1430,GCF_900478295.1;protein_22,GCF_021729605.1;protein_1430,GCF_017821635.1;protein_1376,GCF_016755675.1;protein_1442
GCF_016757555.1;protein_1431,GCF_900478295.1;protein_21,GCF_021729605.1;protein_1431,GCF_017821635.1;protein_1375,GCF_016755675.1;protein_1443
GCF_016757555.1;protein_1432,GCF_900478295.1;protein_20,GCF_021729605.1;protein_1432,GCF_017821635.1;protein_1374,GCF_016755675.1;protein_1444
GCF_016757555.1;protein_1433,GCF_900478295.1;protein_19,GCF_021729605.1;protein_1433,GCF_017821635.1;protein_1373,GCF_016755675.1;protein_1445
GCF_016757555.1;protein_1434,GCF_900478295.1;protein_18,GCF_021729605.1;protein_1434,GCF_017821635.1;protein_1372,GCF_016755675.1;protein_1446
GCF_016757555.1;protein_1435,GCF_900478295.1;protein_17,GCF_021729605.1;protein_1435,GCF_017821635.1;protein_1371,GCF_016755675.1;protein_1447
GCF_016757555.1;protein_1436,GCF_900478295.1;protein_16,GCF_021729605.1;protein_1436,GCF_017821635.1;protein_1370,GCF_016755675.1;protein_1448
GCF_016757555.1;protein_1437,GCF_900478295.1;protein_15,GCF_021729605.1;protein_1437,GCF_017821635.1;protein_1369,GCF_016755675.1;protein_1449
GCF_016757555.1;protein_1439,GCF_900478295.1;protein_13,GCF_021729605.1;protein_1439,GCF_017821635.1;protein_1367,GCF_016755675.1;protein_1451
GCF_016757555.1;protein_144,GCF_900478295.1;protein_335,GCF_021729605.1;protein_140,GCF_017821635.1;protein_146,GCF_016755675.1;protein_143
GCF_016757555.1;protein_1440,GCF_900478295.1;protein_12,GCF_021729605.1;protein_1440,GCF_017821635.1;protein_1366,GCF_016755675.1;protein_1452
GCF_016757555.1;protein_1447,GCF_900478295.1;protein_8,GCF_021729605.1;protein_1445,GCF_017821635.1;protein_1362,GCF_016755675.1;protein_1454
GCF_016757555.1;protein_1448,GCF_900478295.1;protein_7,GCF_021729605.1;protein_1446,GCF_017821635.1;protein_1361,GCF_016755675.1;protein_1455
GCF_016757555.1;protein_145,GCF_900478295.1;protein_336,GCF_021729605.1;protein_141,GCF_017821635.1;protein_147,GCF_016755675.1;protein_144
GCF_016757555.1;protein_1450,GCF_900478295.1;protein_5,GCF_021729605.1;protein_1448,GCF_017821635.1;protein_1359,GCF_016755675.1;protein_1457
GCF_016757555.1;protein_1451,GCF_900478295.1;protein_4,GCF_021729605.1;protein_1449,GCF_017821635.1;protein_1358,GCF_016755675.1;protein_1458
GCF_016757555.1;protein_1452,GCF_900478295.1;protein_3,GCF_021729605.1;protein_1450,GCF_017821635.1;protein_1357,GCF_016755675.1;protein_1459
GCF_016757555.1;protein_1453,GCF_900478295.1;protein_2,GCF_021729605.1;protein_1451,GCF_017821635.1;protein_1356,GCF_016755675.1;protein_1460
GCF_016757555.1;protein_1454,GCF_900478295.1;protein_1,GCF_021729605.1;protein_1452,GCF_017821635.1;protein_1355,GCF_016755675.1;protein_1461
GCF_016757555.1;protein_1455,GCF_900478295.1;protein_0,GCF_021729605.1;protein_1453,GCF_017821635.1;protein_1354,GCF_016755675.1;protein_1462
GCF_016757555.1;protein_1456,GCF_900478295.1;protein_1589,GCF_021729605.1;protein_1454,GCF_017821635.1;protein_1353,GCF_016755675.1;protein_1463
GCF_016757555.1;protein_1457,GCF_900478295.1;protein_1588,GCF_021729605.1;protein_1455,GCF_017821635.1;protein_1352,GCF_016755675.1;protein_1464
GCF_016757555.1;protein_1458,GCF_900478295.1;protein_1587,GCF_021729605.1;protein_1456,GCF_017821635.1;protein_1351,GCF_016755675.1;protein_1465
GCF_016757555.1;protein_1459,GCF_900478295.1;protein_1586,GCF_021729605.1;protein_1457,GCF_017821635.1;protein_1350,GCF_016755675.1;protein_1466
GCF_016757555.1;protein_146,GCF_900478295.1;protein_337,GCF_021729605.1;protein_142,GCF_017821635.1;protein_148,GCF_016755675.1;protein_145
GCF_016757555.1;protein_1462,GCF_900478295.1;protein_118,GCF_021729605.1;protein_1459,GCF_017821635.1;protein_1348,GCF_016755675.1;protein_1470
GCF_016757555.1;protein_1464,GCF_900478295.1;protein_120,GCF_021729605.1;protein_1495,GCF_017821635.1;protein_1346,GCF_016755675.1;protein_1472
GCF_016757555.1;protein_1465,GCF_900478295.1;protein_121,GCF_021729605.1;protein_1496,GCF_017821635.1;protein_1345,GCF_016755675.1;protein_1473
GCF_016757555.1;protein_1466,GCF_900478295.1;protein_122,GCF_021729605.1;protein_1497,GCF_017821635.1;protein_1344,GCF_016755675.1;protein_1474
GCF_016757555.1;protein_1468,GCF_900478295.1;protein_123,GCF_021729605.1;protein_1499,GCF_017821635.1;protein_1343,GCF_016755675.1;protein_1476
GCF_016757555.1;protein_147,GCF_900478295.1;protein_338,GCF_021729605.1;protein_143,GCF_017821635.1;protein_149,GCF_016755675.1;protein_146
GCF_016757555.1;protein_1474,GCF_900478295.1;protein_125,GCF_021729605.1;protein_1501,GCF_017821635.1;protein_1340,GCF_016755675.1;protein_1478
GCF_016757555.1;protein_1475,GCF_900478295.1;protein_126,GCF_021729605.1;protein_1502,GCF_017821635.1;protein_1339,GCF_016755675.1;protein_1479
GCF_016757555.1;protein_1476,GCF_900478295.1;protein_127,GCF_021729605.1;protein_1503,GCF_017821635.1;protein_1338,GCF_016755675.1;protein_1480
GCF_016757555.1;protein_1477,GCF_900478295.1;protein_128,GCF_021729605.1;protein_1504,GCF_017821635.1;protein_1337,GCF_016755675.1;protein_1481
GCF_016757555.1;protein_1478,GCF_900478295.1;protein_129,GCF_021729605.1;protein_1505,GCF_017821635.1;protein_1336,GCF_016755675.1;protein_1482
GCF_016757555.1;protein_148,GCF_900478295.1;protein_339,GCF_021729605.1;protein_144,GCF_017821635.1;protein_150,GCF_016755675.1;protein_147
GCF_016757555.1;protein_1481,GCF_900478295.1;protein_131,GCF_021729605.1;protein_1510,GCF_017821635.1;protein_1334,GCF_016755675.1;protein_1484
GCF_016757555.1;protein_1482,GCF_900478295.1;protein_132,GCF_021729605.1;protein_1511,GCF_017821635.1;protein_1333,GCF_016755675.1;protein_1485
GCF_016757555.1;protein_1483,GCF_900478295.1;protein_133,GCF_021729605.1;protein_1512,GCF_017821635.1;protein_1332,GCF_016755675.1;protein_1486
GCF_016757555.1;protein_1484,GCF_900478295.1;protein_134,GCF_021729605.1;protein_1513,GCF_017821635.1;protein_1331,GCF_016755675.1;protein_1487
GCF_016757555.1;protein_1487,GCF_900478295.1;protein_152,GCF_021729605.1;protein_1523,GCF_017821635.1;protein_1495,GCF_016755675.1;protein_1491
GCF_016757555.1;protein_1488,GCF_900478295.1;protein_151,GCF_021729605.1;protein_1524,GCF_017821635.1;protein_1496,GCF_016755675.1;protein_1492
GCF_016757555.1;protein_1489,GCF_900478295.1;protein_150,GCF_021729605.1;protein_1525,GCF_017821635.1;protein_1497,GCF_016755675.1;protein_1493
GCF_016757555.1;protein_149,GCF_900478295.1;protein_340,GCF_021729605.1;protein_145,GCF_017821635.1;protein_151,GCF_016755675.1;protein_148
GCF_016757555.1;protein_1490,GCF_900478295.1;protein_149,GCF_021729605.1;protein_1526,GCF_017821635.1;protein_1498,GCF_016755675.1;protein_1494
GCF_016757555.1;protein_1492,GCF_900478295.1;protein_147,GCF_021729605.1;protein_1528,GCF_017821635.1;protein_1500,GCF_016755675.1;protein_1496
GCF_016757555.1;protein_1493,GCF_900478295.1;protein_146,GCF_021729605.1;protein_1529,GCF_017821635.1;protein_1501,GCF_016755675.1;protein_1497
GCF_016757555.1;protein_1494,GCF_900478295.1;protein_145,GCF_021729605.1;protein_1530,GCF_017821635.1;protein_1502,GCF_016755675.1;protein_1498
GCF_016757555.1;protein_1495,GCF_900478295.1;protein_144,GCF_021729605.1;protein_1531,GCF_017821635.1;protein_1503,GCF_016755675.1;protein_1499
GCF_016757555.1;protein_1496,GCF_900478295.1;protein_143,GCF_021729605.1;protein_1532,GCF_017821635.1;protein_1504,GCF_016755675.1;protein_1500
GCF_016757555.1;protein_1497,GCF_900478295.1;protein_142,GCF_021729605.1;protein_1533,GCF_017821635.1;protein_1505,GCF_016755675.1;protein_1501
GCF_016757555.1;protein_1498,GCF_900478295.1;protein_141,GCF_021729605.1;protein_1534,GCF_017821635.1;protein_1506,GCF_016755675.1;protein_1502
GCF_016757555.1;protein_1499,GCF_900478295.1;protein_140,GCF_021729605.1;protein_1535,GCF_017821635.1;protein_1507,GCF_016755675.1;protein_1503
GCF_016757555.1;protein_15,GCF_900478295.1;protein_202,GCF_021729605.1;protein_15,GCF_017821635.1;protein_15,GCF_016755675.1;protein_14
GCF_016757555.1;protein_150,GCF_900478295.1;protein_341,GCF_021729605.1;protein_146,GCF_017821635.1;protein_152,GCF_016755675.1;protein_149
GCF_016757555.1;protein_1500,GCF_900478295.1;protein_139,GCF_021729605.1;protein_1536,GCF_017821635.1;protein_1508,GCF_016755675.1;protein_1504
GCF_016757555.1;protein_1501,GCF_900478295.1;protein_138,GCF_021729605.1;protein_1537,GCF_017821635.1;protein_1509,GCF_016755675.1;protein_1505
GCF_016757555.1;protein_1502,GCF_900478295.1;protein_137,GCF_021729605.1;protein_1538,GCF_017821635.1;protein_1510,GCF_016755675.1;protein_1506
GCF_016757555.1;protein_1503,GCF_900478295.1;protein_136,GCF_021729605.1;protein_1539,GCF_017821635.1;protein_1511,GCF_016755675.1;protein_1507
GCF_016757555.1;protein_1504,GCF_900478295.1;protein_135,GCF_021729605.1;protein_1540,GCF_017821635.1;protein_1512,GCF_016755675.1;protein_1508
GCF_016757555.1;protein_1507,GCF_900478295.1;protein_154,GCF_021729605.1;protein_1542,GCF_017821635.1;protein_1515,GCF_016755675.1;protein_1511
GCF_016757555.1;protein_1509,GCF_900478295.1;protein_156,GCF_021729605.1;protein_1544,GCF_017821635.1;protein_1517,GCF_016755675.1;protein_1513
GCF_016757555.1;protein_151,GCF_900478295.1;protein_343,GCF_021729605.1;protein_147,GCF_017821635.1;protein_153,GCF_016755675.1;protein_150
GCF_016757555.1;protein_1510,GCF_900478295.1;protein_157,GCF_021729605.1;protein_1545,GCF_017821635.1;protein_1518,GCF_016755675.1;protein_1514
GCF_016757555.1;protein_1511,GCF_900478295.1;protein_158,GCF_021729605.1;protein_1546,GCF_017821635.1;protein_1519,GCF_016755675.1;protein_1515
GCF_016757555.1;protein_1512,GCF_900478295.1;protein_159,GCF_021729605.1;protein_1547,GCF_017821635.1;protein_1520,GCF_016755675.1;protein_1516
GCF_016757555.1;protein_1515,GCF_900478295.1;protein_161,GCF_021729605.1;protein_1550,GCF_017821635.1;protein_1522,GCF_016755675.1;protein_1519
GCF_016757555.1;protein_1516,GCF_900478295.1;protein_162,GCF_021729605.1;protein_1551,GCF_017821635.1;protein_1523,GCF_016755675.1;protein_1520
GCF_016757555.1;protein_1517,GCF_900478295.1;protein_163,GCF_021729605.1;protein_1552,GCF_017821635.1;protein_1524,GCF_016755675.1;protein_1521
GCF_016757555.1;protein_1518,GCF_900478295.1;protein_164,GCF_021729605.1;protein_1553,GCF_017821635.1;protein_1525,GCF_016755675.1;protein_1522
GCF_016757555.1;protein_1519,GCF_900478295.1;protein_165,GCF_021729605.1;protein_1554,GCF_017821635.1;protein_1526,GCF_016755675.1;protein_1523
GCF_016757555.1;protein_152,GCF_900478295.1;protein_344,GCF_021729605.1;protein_148,GCF_017821635.1;protein_154,GCF_016755675.1;protein_151
GCF_016757555.1;protein_1520,GCF_900478295.1;protein_166,GCF_021729605.1;protein_1555,GCF_017821635.1;protein_1527,GCF_016755675.1;protein_1524
GCF_016757555.1;protein_1521,GCF_900478295.1;protein_167,GCF_021729605.1;protein_1556,GCF_017821635.1;protein_1528,GCF_016755675.1;protein_1525
GCF_016757555.1;protein_1522,GCF_900478295.1;protein_168,GCF_021729605.1;protein_1557,GCF_017821635.1;protein_1529,GCF_016755675.1;protein_1526
GCF_016757555.1;protein_1523,GCF_900478295.1;protein_169,GCF_021729605.1;protein_1558,GCF_017821635.1;protein_1530,GCF_016755675.1;protein_1527
GCF_016757555.1;protein_1524,GCF_900478295.1;protein_170,GCF_021729605.1;protein_1559,GCF_017821635.1;protein_1531,GCF_016755675.1;protein_1528
GCF_016757555.1;protein_1525,GCF_900478295.1;protein_171,GCF_021729605.1;protein_1560,GCF_017821635.1;protein_1532,GCF_016755675.1;protein_1529
GCF_016757555.1;protein_1526,GCF_900478295.1;protein_172,GCF_021729605.1;protein_1561,GCF_017821635.1;protein_1533,GCF_016755675.1;protein_1530
GCF_016757555.1;protein_1527,GCF_900478295.1;protein_173,GCF_021729605.1;protein_1562,GCF_017821635.1;protein_1534,GCF_016755675.1;protein_1531
GCF_016757555.1;protein_1528,GCF_900478295.1;protein_174,GCF_021729605.1;protein_1563,GCF_017821635.1;protein_1535,GCF_016755675.1;protein_1532
GCF_016757555.1;protein_1529,GCF_900478295.1;protein_175,GCF_021729605.1;protein_1564,GCF_017821635.1;protein_1536,GCF_016755675.1;protein_1533
GCF_016757555.1;protein_153,GCF_900478295.1;protein_345,GCF_021729605.1;protein_149,GCF_017821635.1;protein_155,GCF_016755675.1;protein_152
GCF_016757555.1;protein_1530,GCF_900478295.1;protein_176,GCF_021729605.1;protein_1565,GCF_017821635.1;protein_1537,GCF_016755675.1;protein_1534
GCF_016757555.1;protein_1531,GCF_900478295.1;protein_177,GCF_021729605.1;protein_1566,GCF_017821635.1;protein_1538,GCF_016755675.1;protein_1535
GCF_016757555.1;protein_1532,GCF_900478295.1;protein_178,GCF_021729605.1;protein_1567,GCF_017821635.1;protein_1539,GCF_016755675.1;protein_1536
GCF_016757555.1;protein_1533,GCF_900478295.1;protein_179,GCF_021729605.1;protein_1568,GCF_017821635.1;protein_1540,GCF_016755675.1;protein_1537
GCF_016757555.1;protein_1534,GCF_900478295.1;protein_180,GCF_021729605.1;protein_1569,GCF_017821635.1;protein_1541,GCF_016755675.1;protein_1538
GCF_016757555.1;protein_1535,GCF_900478295.1;protein_181,GCF_021729605.1;protein_1570,GCF_017821635.1;protein_1542,GCF_016755675.1;protein_1539
GCF_016757555.1;protein_1536,GCF_900478295.1;protein_182,GCF_021729605.1;protein_1571,GCF_017821635.1;protein_1543,GCF_016755675.1;protein_1540
GCF_016757555.1;protein_1539,GCF_900478295.1;protein_184,GCF_021729605.1;protein_1519,GCF_017821635.1;protein_1545,GCF_016755675.1;protein_1542
GCF_016757555.1;protein_154,GCF_900478295.1;protein_346,GCF_021729605.1;protein_150,GCF_017821635.1;protein_156,GCF_016755675.1;protein_153
GCF_016757555.1;protein_1540,GCF_900478295.1;protein_185,GCF_021729605.1;protein_1518,GCF_017821635.1;protein_1546,GCF_016755675.1;protein_1543
GCF_016757555.1;protein_155,GCF_900478295.1;protein_347,GCF_021729605.1;protein_151,GCF_017821635.1;protein_157,GCF_016755675.1;protein_154
GCF_016757555.1;protein_156,GCF_900478295.1;protein_348,GCF_021729605.1;protein_152,GCF_017821635.1;protein_158,GCF_016755675.1;protein_155
GCF_016757555.1;protein_157,GCF_900478295.1;protein_349,GCF_021729605.1;protein_153,GCF_017821635.1;protein_159,GCF_016755675.1;protein_156
GCF_016757555.1;protein_158,GCF_900478295.1;protein_350,GCF_021729605.1;protein_154,GCF_017821635.1;protein_160,GCF_016755675.1;protein_157
GCF_016757555.1;protein_159,GCF_900478295.1;protein_351,GCF_021729605.1;protein_155,GCF_017821635.1;protein_161,GCF_016755675.1;protein_158
GCF_016757555.1;protein_16,GCF_900478295.1;protein_203,GCF_021729605.1;protein_16,GCF_017821635.1;protein_16,GCF_016755675.1;protein_15
GCF_016757555.1;protein_160,GCF_900478295.1;protein_352,GCF_021729605.1;protein_156,GCF_017821635.1;protein_162,GCF_016755675.1;protein_159
GCF_016757555.1;protein_161,GCF_900478295.1;protein_353,GCF_021729605.1;protein_157,GCF_017821635.1;protein_163,GCF_016755675.1;protein_160
GCF_016757555.1;protein_162,GCF_900478295.1;protein_354,GCF_021729605.1;protein_158,GCF_017821635.1;protein_164,GCF_016755675.1;protein_161
GCF_016757555.1;protein_164,GCF_900478295.1;protein_356,GCF_021729605.1;protein_160,GCF_017821635.1;protein_166,GCF_016755675.1;protein_162
GCF_016757555.1;protein_165,GCF_900478295.1;protein_357,GCF_021729605.1;protein_161,GCF_017821635.1;protein_167,GCF_016755675.1;protein_163
GCF_016757555.1;protein_166,GCF_900478295.1;protein_358,GCF_021729605.1;protein_162,GCF_017821635.1;protein_168,GCF_016755675.1;protein_164
GCF_016757555.1;protein_17,GCF_900478295.1;protein_204,GCF_021729605.1;protein_17,GCF_017821635.1;protein_17,GCF_016755675.1;protein_16
GCF_016757555.1;protein_170,GCF_900478295.1;protein_363,GCF_021729605.1;protein_163,GCF_017821635.1;protein_174,GCF_016755675.1;protein_169
GCF_016757555.1;protein_171,GCF_900478295.1;protein_364,GCF_021729605.1;protein_164,GCF_017821635.1;protein_175,GCF_016755675.1;protein_170
GCF_016757555.1;protein_172,GCF_900478295.1;protein_365,GCF_021729605.1;protein_165,GCF_017821635.1;protein_176,GCF_016755675.1;protein_171
GCF_016757555.1;protein_173,GCF_900478295.1;protein_366,GCF_021729605.1;protein_166,GCF_017821635.1;protein_177,GCF_016755675.1;protein_172
GCF_016757555.1;protein_174,GCF_900478295.1;protein_367,GCF_021729605.1;protein_167,GCF_017821635.1;protein_178,GCF_016755675.1;protein_173
GCF_016757555.1;protein_175,GCF_900478295.1;protein_368,GCF_021729605.1;protein_168,GCF_017821635.1;protein_179,GCF_016755675.1;protein_174
GCF_016757555.1;protein_176,GCF_900478295.1;protein_369,GCF_021729605.1;protein_169,GCF_017821635.1;protein_180,GCF_016755675.1;protein_175
