GCF_002953555.1,GCF_010917155.1,GCF_003050665.1,GCF_019974055.1,GCF_022923035.1,GCF_022925215.1,GCF_016748795.1,GCF_017821355.1,GCF_017821275.1,GCF_003636855.2,GCF_030323385.1,GCF_002952575.1,GCF_017821635.1,GCF_006337405.1,GCF_002952635.1,GCF_001653415.1,GCF_022923775.1,GCF_017821475.1,GCF_002906535.1,GCF_051131785.1,GCF_020735805.1,GCF_013122035.1,GCF_002906555.1,GCF_030323485.1,GCF_030062605.1,GCF_022921575.1,GCF_022925945.1,GCF_017821595.1,GCF_002951975.1,GCF_006337745.1
GCF_002953555.1;protein_187,GCF_010917155.1;protein_29,GCF_003050665.1;protein_1196,GCF_019974055.1;protein_371,GCF_022923035.1;protein_1199,GCF_022925215.1;protein_1190,GCF_016748795.1;protein_178,GCF_017821355.1;protein_185,GCF_017821275.1;protein_184,GCF_003636855.2;protein_55,GCF_030323385.1;protein_338,GCF_002952575.1;protein_1251,GCF_017821635.1;protein_190,GCF_006337405.1;protein_1291,GCF_002952635.1;protein_1256,GCF_001653415.1;protein_243,GCF_022923775.1;protein_1259,GCF_017821475.1;protein_184,GCF_002906535.1;protein_186,GCF_051131785.1;protein_1262,GCF_020735805.1;protein_756,GCF_013122035.1;protein_358,GCF_002906555.1;protein_186,GCF_030323485.1;protein_1218,GCF_030062605.1;protein_524,GCF_022921575.1;protein_1221,GCF_022925945.1;protein_1234,GCF_017821595.1;protein_185,GCF_002951975.1;protein_1252,GCF_006337745.1;protein_1305
GCF_002953555.1;protein_188,GCF_010917155.1;protein_28,GCF_003050665.1;protein_1197,GCF_019974055.1;protein_372,GCF_022923035.1;protein_1198,GCF_022925215.1;protein_1189,GCF_016748795.1;protein_177,GCF_017821355.1;protein_186,GCF_017821275.1;protein_185,GCF_003636855.2;protein_54,GCF_030323385.1;protein_339,GCF_002952575.1;protein_1250,GCF_017821635.1;protein_191,GCF_006337405.1;protein_1290,GCF_002952635.1;protein_1255,GCF_001653415.1;protein_244,GCF_022923775.1;protein_1258,GCF_017821475.1;protein_185,GCF_002906535.1;protein_187,GCF_051131785.1;protein_1261,GCF_020735805.1;protein_757,GCF_013122035.1;protein_357,GCF_002906555.1;protein_187,GCF_030323485.1;protein_1217,GCF_030062605.1;protein_523,GCF_022921575.1;protein_1220,GCF_022925945.1;protein_1233,GCF_017821595.1;protein_186,GCF_002951975.1;protein_1251,GCF_006337745.1;protein_1304
GCF_002953555.1;protein_189,GCF_010917155.1;protein_27,GCF_003050665.1;protein_1198,GCF_019974055.1;protein_373,GCF_022923035.1;protein_1197,GCF_022925215.1;protein_1188,GCF_016748795.1;protein_176,GCF_017821355.1;protein_187,GCF_017821275.1;protein_186,GCF_003636855.2;protein_53,GCF_030323385.1;protein_340,GCF_002952575.1;protein_1249,GCF_017821635.1;protein_192,GCF_006337405.1;protein_1289,GCF_002952635.1;protein_1254,GCF_001653415.1;protein_245,GCF_022923775.1;protein_1257,GCF_017821475.1;protein_186,GCF_002906535.1;protein_188,GCF_051131785.1;protein_1260,GCF_020735805.1;protein_758,GCF_013122035.1;protein_356,GCF_002906555.1;protein_188,GCF_030323485.1;protein_1216,GCF_030062605.1;protein_522,GCF_022921575.1;protein_1219,GCF_022925945.1;protein_1232,GCF_017821595.1;protein_187,GCF_002951975.1;protein_1250,GCF_006337745.1;protein_1303
GCF_002953555.1;protein_19,GCF_010917155.1;protein_200,GCF_003050665.1;protein_995,GCF_019974055.1;protein_161,GCF_022923035.1;protein_1432,GCF_022925215.1;protein_1400,GCF_016748795.1;protein_19,GCF_017821355.1;protein_19,GCF_017821275.1;protein_19,GCF_003636855.2;protein_222,GCF_030323385.1;protein_168,GCF_002952575.1;protein_1461,GCF_017821635.1;protein_19,GCF_006337405.1;protein_1499,GCF_002952635.1;protein_1466,GCF_001653415.1;protein_73,GCF_022923775.1;protein_1442,GCF_017821475.1;protein_19,GCF_002906535.1;protein_19,GCF_051131785.1;protein_1442,GCF_020735805.1;protein_590,GCF_013122035.1;protein_202,GCF_002906555.1;protein_19,GCF_030323485.1;protein_1385,GCF_030062605.1;protein_189,GCF_022921575.1;protein_1391,GCF_022925945.1;protein_1417,GCF_017821595.1;protein_19,GCF_002951975.1;protein_1462,GCF_006337745.1;protein_1472
GCF_002953555.1;protein_190,GCF_010917155.1;protein_26,GCF_003050665.1;protein_1199,GCF_019974055.1;protein_374,GCF_022923035.1;protein_1196,GCF_022925215.1;protein_1187,GCF_016748795.1;protein_175,GCF_017821355.1;protein_188,GCF_017821275.1;protein_187,GCF_003636855.2;protein_52,GCF_030323385.1;protein_341,GCF_002952575.1;protein_1248,GCF_017821635.1;protein_193,GCF_006337405.1;protein_1288,GCF_002952635.1;protein_1253,GCF_001653415.1;protein_246,GCF_022923775.1;protein_1256,GCF_017821475.1;protein_187,GCF_002906535.1;protein_189,GCF_051131785.1;protein_1259,GCF_020735805.1;protein_759,GCF_013122035.1;protein_355,GCF_002906555.1;protein_189,GCF_030323485.1;protein_1215,GCF_030062605.1;protein_521,GCF_022921575.1;protein_1218,GCF_022925945.1;protein_1231,GCF_017821595.1;protein_188,GCF_002951975.1;protein_1249,GCF_006337745.1;protein_1302
GCF_002953555.1;protein_191,GCF_010917155.1;protein_25,GCF_003050665.1;protein_1200,GCF_019974055.1;protein_375,GCF_022923035.1;protein_1195,GCF_022925215.1;protein_1186,GCF_016748795.1;protein_174,GCF_017821355.1;protein_189,GCF_017821275.1;protein_188,GCF_003636855.2;protein_51,GCF_030323385.1;protein_342,GCF_002952575.1;protein_1247,GCF_017821635.1;protein_194,GCF_006337405.1;protein_1287,GCF_002952635.1;protein_1252,GCF_001653415.1;protein_247,GCF_022923775.1;protein_1255,GCF_017821475.1;protein_188,GCF_002906535.1;protein_190,GCF_051131785.1;protein_1258,GCF_020735805.1;protein_760,GCF_013122035.1;protein_354,GCF_002906555.1;protein_190,GCF_030323485.1;protein_1214,GCF_030062605.1;protein_520,GCF_022921575.1;protein_1217,GCF_022925945.1;protein_1230,GCF_017821595.1;protein_189,GCF_002951975.1;protein_1248,GCF_006337745.1;protein_1301
GCF_002953555.1;protein_192,GCF_010917155.1;protein_24,GCF_003050665.1;protein_1201,GCF_019974055.1;protein_376,GCF_022923035.1;protein_1194,GCF_022925215.1;protein_1185,GCF_016748795.1;protein_173,GCF_017821355.1;protein_190,GCF_017821275.1;protein_189,GCF_003636855.2;protein_50,GCF_030323385.1;protein_343,GCF_002952575.1;protein_1246,GCF_017821635.1;protein_195,GCF_006337405.1;protein_1286,GCF_002952635.1;protein_1251,GCF_001653415.1;protein_248,GCF_022923775.1;protein_1254,GCF_017821475.1;protein_189,GCF_002906535.1;protein_191,GCF_051131785.1;protein_1257,GCF_020735805.1;protein_761,GCF_013122035.1;protein_353,GCF_002906555.1;protein_191,GCF_030323485.1;protein_1213,GCF_030062605.1;protein_519,GCF_022921575.1;protein_1216,GCF_022925945.1;protein_1229,GCF_017821595.1;protein_190,GCF_002951975.1;protein_1247,GCF_006337745.1;protein_1300
GCF_002953555.1;protein_193,GCF_010917155.1;protein_23,GCF_003050665.1;protein_1202,GCF_019974055.1;protein_377,GCF_022923035.1;protein_1193,GCF_022925215.1;protein_1184,GCF_016748795.1;protein_172,GCF_017821355.1;protein_191,GCF_017821275.1;protein_190,GCF_003636855.2;protein_49,GCF_030323385.1;protein_344,GCF_002952575.1;protein_1245,GCF_017821635.1;protein_196,GCF_006337405.1;protein_1285,GCF_002952635.1;protein_1250,GCF_001653415.1;protein_249,GCF_022923775.1;protein_1253,GCF_017821475.1;protein_190,GCF_002906535.1;protein_192,GCF_051131785.1;protein_1256,GCF_020735805.1;protein_762,GCF_013122035.1;protein_352,GCF_002906555.1;protein_192,GCF_030323485.1;protein_1212,GCF_030062605.1;protein_518,GCF_022921575.1;protein_1215,GCF_022925945.1;protein_1228,GCF_017821595.1;protein_191,GCF_002951975.1;protein_1246,GCF_006337745.1;protein_1299
GCF_002953555.1;protein_197,GCF_010917155.1;protein_20,GCF_003050665.1;protein_1205,GCF_019974055.1;protein_381,GCF_022923035.1;protein_1190,GCF_022925215.1;protein_1181,GCF_016748795.1;protein_169,GCF_017821355.1;protein_195,GCF_017821275.1;protein_193,GCF_003636855.2;protein_46,GCF_030323385.1;protein_347,GCF_002952575.1;protein_1242,GCF_017821635.1;protein_200,GCF_006337405.1;protein_1235,GCF_002952635.1;protein_1247,GCF_001653415.1;protein_252,GCF_022923775.1;protein_1250,GCF_017821475.1;protein_193,GCF_002906535.1;protein_196,GCF_051131785.1;protein_1253,GCF_020735805.1;protein_765,GCF_013122035.1;protein_350,GCF_002906555.1;protein_196,GCF_030323485.1;protein_1209,GCF_030062605.1;protein_515,GCF_022921575.1;protein_1212,GCF_022925945.1;protein_1225,GCF_017821595.1;protein_194,GCF_002951975.1;protein_1243,GCF_006337745.1;protein_1296
GCF_002953555.1;protein_2,GCF_010917155.1;protein_217,GCF_003050665.1;protein_978,GCF_019974055.1;protein_178,GCF_022923035.1;protein_1449,GCF_022925215.1;protein_1417,GCF_016748795.1;protein_2,GCF_017821355.1;protein_2,GCF_017821275.1;protein_2,GCF_003636855.2;protein_239,GCF_030323385.1;protein_151,GCF_002952575.1;protein_1478,GCF_017821635.1;protein_2,GCF_006337405.1;protein_1516,GCF_002952635.1;protein_1483,GCF_001653415.1;protein_56,GCF_022923775.1;protein_1459,GCF_017821475.1;protein_2,GCF_002906535.1;protein_2,GCF_051131785.1;protein_1459,GCF_020735805.1;protein_573,GCF_013122035.1;protein_185,GCF_002906555.1;protein_2,GCF_030323485.1;protein_1402,GCF_030062605.1;protein_172,GCF_022921575.1;protein_1374,GCF_022925945.1;protein_1434,GCF_017821595.1;protein_2,GCF_002951975.1;protein_1479,GCF_006337745.1;protein_1489
GCF_002953555.1;protein_200,GCF_010917155.1;protein_17,GCF_003050665.1;protein_1208,GCF_019974055.1;protein_384,GCF_022923035.1;protein_1187,GCF_022925215.1;protein_1179,GCF_016748795.1;protein_198,GCF_017821355.1;protein_198,GCF_017821275.1;protein_195,GCF_003636855.2;protein_44,GCF_030323385.1;protein_351,GCF_002952575.1;protein_1240,GCF_017821635.1;protein_202,GCF_006337405.1;protein_1232,GCF_002952635.1;protein_1245,GCF_001653415.1;protein_255,GCF_022923775.1;protein_1247,GCF_017821475.1;protein_196,GCF_002906535.1;protein_199,GCF_051131785.1;protein_1250,GCF_020735805.1;protein_768,GCF_013122035.1;protein_376,GCF_002906555.1;protein_199,GCF_030323485.1;protein_1206,GCF_030062605.1;protein_512,GCF_022921575.1;protein_1209,GCF_022925945.1;protein_1222,GCF_017821595.1;protein_197,GCF_002951975.1;protein_1240,GCF_006337745.1;protein_1293
GCF_002953555.1;protein_201,GCF_010917155.1;protein_16,GCF_003050665.1;protein_1209,GCF_019974055.1;protein_385,GCF_022923035.1;protein_1186,GCF_022925215.1;protein_1178,GCF_016748795.1;protein_199,GCF_017821355.1;protein_199,GCF_017821275.1;protein_196,GCF_003636855.2;protein_43,GCF_030323385.1;protein_352,GCF_002952575.1;protein_1239,GCF_017821635.1;protein_203,GCF_006337405.1;protein_1231,GCF_002952635.1;protein_1244,GCF_001653415.1;protein_256,GCF_022923775.1;protein_1246,GCF_017821475.1;protein_197,GCF_002906535.1;protein_200,GCF_051131785.1;protein_1249,GCF_020735805.1;protein_769,GCF_013122035.1;protein_377,GCF_002906555.1;protein_200,GCF_030323485.1;protein_1205,GCF_030062605.1;protein_511,GCF_022921575.1;protein_1208,GCF_022925945.1;protein_1221,GCF_017821595.1;protein_198,GCF_002951975.1;protein_1239,GCF_006337745.1;protein_1292
GCF_002953555.1;protein_202,GCF_010917155.1;protein_15,GCF_003050665.1;protein_1210,GCF_019974055.1;protein_386,GCF_022923035.1;protein_1185,GCF_022925215.1;protein_1177,GCF_016748795.1;protein_200,GCF_017821355.1;protein_200,GCF_017821275.1;protein_197,GCF_003636855.2;protein_42,GCF_030323385.1;protein_353,GCF_002952575.1;protein_1238,GCF_017821635.1;protein_204,GCF_006337405.1;protein_1230,GCF_002952635.1;protein_1243,GCF_001653415.1;protein_257,GCF_022923775.1;protein_1245,GCF_017821475.1;protein_198,GCF_002906535.1;protein_201,GCF_051131785.1;protein_1248,GCF_020735805.1;protein_770,GCF_013122035.1;protein_378,GCF_002906555.1;protein_201,GCF_030323485.1;protein_1204,GCF_030062605.1;protein_510,GCF_022921575.1;protein_1207,GCF_022925945.1;protein_1220,GCF_017821595.1;protein_199,GCF_002951975.1;protein_1238,GCF_006337745.1;protein_1291
GCF_002953555.1;protein_203,GCF_010917155.1;protein_14,GCF_003050665.1;protein_1211,GCF_019974055.1;protein_387,GCF_022923035.1;protein_1184,GCF_022925215.1;protein_1176,GCF_016748795.1;protein_201,GCF_017821355.1;protein_201,GCF_017821275.1;protein_198,GCF_003636855.2;protein_41,GCF_030323385.1;protein_354,GCF_002952575.1;protein_1237,GCF_017821635.1;protein_205,GCF_006337405.1;protein_1229,GCF_002952635.1;protein_1242,GCF_001653415.1;protein_258,GCF_022923775.1;protein_1244,GCF_017821475.1;protein_199,GCF_002906535.1;protein_202,GCF_051131785.1;protein_1247,GCF_020735805.1;protein_771,GCF_013122035.1;protein_379,GCF_002906555.1;protein_202,GCF_030323485.1;protein_1203,GCF_030062605.1;protein_509,GCF_022921575.1;protein_1206,GCF_022925945.1;protein_1219,GCF_017821595.1;protein_200,GCF_002951975.1;protein_1237,GCF_006337745.1;protein_1290
GCF_002953555.1;protein_204,GCF_010917155.1;protein_13,GCF_003050665.1;protein_1212,GCF_019974055.1;protein_388,GCF_022923035.1;protein_1183,GCF_022925215.1;protein_1175,GCF_016748795.1;protein_202,GCF_017821355.1;protein_202,GCF_017821275.1;protein_199,GCF_003636855.2;protein_40,GCF_030323385.1;protein_355,GCF_002952575.1;protein_1236,GCF_017821635.1;protein_206,GCF_006337405.1;protein_1228,GCF_002952635.1;protein_1241,GCF_001653415.1;protein_259,GCF_022923775.1;protein_1243,GCF_017821475.1;protein_200,GCF_002906535.1;protein_203,GCF_051131785.1;protein_1246,GCF_020735805.1;protein_772,GCF_013122035.1;protein_380,GCF_002906555.1;protein_203,GCF_030323485.1;protein_1202,GCF_030062605.1;protein_508,GCF_022921575.1;protein_1205,GCF_022925945.1;protein_1218,GCF_017821595.1;protein_201,GCF_002951975.1;protein_1236,GCF_006337745.1;protein_1289
GCF_002953555.1;protein_205,GCF_010917155.1;protein_12,GCF_003050665.1;protein_1213,GCF_019974055.1;protein_389,GCF_022923035.1;protein_1182,GCF_022925215.1;protein_1174,GCF_016748795.1;protein_203,GCF_017821355.1;protein_203,GCF_017821275.1;protein_200,GCF_003636855.2;protein_39,GCF_030323385.1;protein_356,GCF_002952575.1;protein_1235,GCF_017821635.1;protein_207,GCF_006337405.1;protein_1227,GCF_002952635.1;protein_1240,GCF_001653415.1;protein_260,GCF_022923775.1;protein_1242,GCF_017821475.1;protein_201,GCF_002906535.1;protein_204,GCF_051131785.1;protein_1245,GCF_020735805.1;protein_773,GCF_013122035.1;protein_381,GCF_002906555.1;protein_204,GCF_030323485.1;protein_1201,GCF_030062605.1;protein_507,GCF_022921575.1;protein_1204,GCF_022925945.1;protein_1217,GCF_017821595.1;protein_202,GCF_002951975.1;protein_1235,GCF_006337745.1;protein_1288
GCF_002953555.1;protein_206,GCF_010917155.1;protein_11,GCF_003050665.1;protein_1214,GCF_019974055.1;protein_390,GCF_022923035.1;protein_1181,GCF_022925215.1;protein_1173,GCF_016748795.1;protein_204,GCF_017821355.1;protein_204,GCF_017821275.1;protein_201,GCF_003636855.2;protein_38,GCF_030323385.1;protein_357,GCF_002952575.1;protein_1234,GCF_017821635.1;protein_208,GCF_006337405.1;protein_1226,GCF_002952635.1;protein_1239,GCF_001653415.1;protein_261,GCF_022923775.1;protein_1241,GCF_017821475.1;protein_202,GCF_002906535.1;protein_205,GCF_051131785.1;protein_1244,GCF_020735805.1;protein_774,GCF_013122035.1;protein_382,GCF_002906555.1;protein_205,GCF_030323485.1;protein_1200,GCF_030062605.1;protein_506,GCF_022921575.1;protein_1203,GCF_022925945.1;protein_1216,GCF_017821595.1;protein_203,GCF_002951975.1;protein_1234,GCF_006337745.1;protein_1287
GCF_002953555.1;protein_207,GCF_010917155.1;protein_10,GCF_003050665.1;protein_1215,GCF_019974055.1;protein_391,GCF_022923035.1;protein_1180,GCF_022925215.1;protein_1172,GCF_016748795.1;protein_205,GCF_017821355.1;protein_205,GCF_017821275.1;protein_202,GCF_003636855.2;protein_37,GCF_030323385.1;protein_358,GCF_002952575.1;protein_1233,GCF_017821635.1;protein_209,GCF_006337405.1;protein_1225,GCF_002952635.1;protein_1238,GCF_001653415.1;protein_262,GCF_022923775.1;protein_1240,GCF_017821475.1;protein_203,GCF_002906535.1;protein_206,GCF_051131785.1;protein_1243,GCF_020735805.1;protein_775,GCF_013122035.1;protein_383,GCF_002906555.1;protein_206,GCF_030323485.1;protein_1199,GCF_030062605.1;protein_505,GCF_022921575.1;protein_1202,GCF_022925945.1;protein_1215,GCF_017821595.1;protein_204,GCF_002951975.1;protein_1233,GCF_006337745.1;protein_1286
GCF_002953555.1;protein_209,GCF_010917155.1;protein_7,GCF_003050665.1;protein_1218,GCF_019974055.1;protein_394,GCF_022923035.1;protein_1177,GCF_022925215.1;protein_1169,GCF_016748795.1;protein_206,GCF_017821355.1;protein_208,GCF_017821275.1;protein_205,GCF_003636855.2;protein_34,GCF_030323385.1;protein_361,GCF_002952575.1;protein_1232,GCF_017821635.1;protein_212,GCF_006337405.1;protein_1224,GCF_002952635.1;protein_1237,GCF_001653415.1;protein_263,GCF_022923775.1;protein_1238,GCF_017821475.1;protein_206,GCF_002906535.1;protein_209,GCF_051131785.1;protein_1240,GCF_020735805.1;protein_776,GCF_013122035.1;protein_384,GCF_002906555.1;protein_209,GCF_030323485.1;protein_1195,GCF_030062605.1;protein_502,GCF_022921575.1;protein_1199,GCF_022925945.1;protein_1212,GCF_017821595.1;protein_207,GCF_002951975.1;protein_1232,GCF_006337745.1;protein_1283
GCF_002953555.1;protein_210,GCF_010917155.1;protein_6,GCF_003050665.1;protein_1219,GCF_019974055.1;protein_395,GCF_022923035.1;protein_1176,GCF_022925215.1;protein_1168,GCF_016748795.1;protein_207,GCF_017821355.1;protein_209,GCF_017821275.1;protein_206,GCF_003636855.2;protein_33,GCF_030323385.1;protein_362,GCF_002952575.1;protein_1231,GCF_017821635.1;protein_213,GCF_006337405.1;protein_1223,GCF_002952635.1;protein_1236,GCF_001653415.1;protein_264,GCF_022923775.1;protein_1237,GCF_017821475.1;protein_207,GCF_002906535.1;protein_210,GCF_051131785.1;protein_1239,GCF_020735805.1;protein_777,GCF_013122035.1;protein_385,GCF_002906555.1;protein_210,GCF_030323485.1;protein_1194,GCF_030062605.1;protein_501,GCF_022921575.1;protein_1198,GCF_022925945.1;protein_1211,GCF_017821595.1;protein_208,GCF_002951975.1;protein_1231,GCF_006337745.1;protein_1282
GCF_002953555.1;protein_211,GCF_010917155.1;protein_5,GCF_003050665.1;protein_1220,GCF_019974055.1;protein_396,GCF_022923035.1;protein_1175,GCF_022925215.1;protein_1167,GCF_016748795.1;protein_208,GCF_017821355.1;protein_210,GCF_017821275.1;protein_207,GCF_003636855.2;protein_32,GCF_030323385.1;protein_363,GCF_002952575.1;protein_1230,GCF_017821635.1;protein_214,GCF_006337405.1;protein_1222,GCF_002952635.1;protein_1235,GCF_001653415.1;protein_265,GCF_022923775.1;protein_1236,GCF_017821475.1;protein_208,GCF_002906535.1;protein_211,GCF_051131785.1;protein_1238,GCF_020735805.1;protein_778,GCF_013122035.1;protein_386,GCF_002906555.1;protein_211,GCF_030323485.1;protein_1193,GCF_030062605.1;protein_500,GCF_022921575.1;protein_1197,GCF_022925945.1;protein_1210,GCF_017821595.1;protein_209,GCF_002951975.1;protein_1230,GCF_006337745.1;protein_1281
GCF_002953555.1;protein_212,GCF_010917155.1;protein_4,GCF_003050665.1;protein_1221,GCF_019974055.1;protein_397,GCF_022923035.1;protein_1174,GCF_022925215.1;protein_1166,GCF_016748795.1;protein_209,GCF_017821355.1;protein_211,GCF_017821275.1;protein_208,GCF_003636855.2;protein_31,GCF_030323385.1;protein_364,GCF_002952575.1;protein_1229,GCF_017821635.1;protein_215,GCF_006337405.1;protein_1221,GCF_002952635.1;protein_1234,GCF_001653415.1;protein_266,GCF_022923775.1;protein_1235,GCF_017821475.1;protein_209,GCF_002906535.1;protein_212,GCF_051131785.1;protein_1237,GCF_020735805.1;protein_779,GCF_013122035.1;protein_387,GCF_002906555.1;protein_212,GCF_030323485.1;protein_1192,GCF_030062605.1;protein_499,GCF_022921575.1;protein_1196,GCF_022925945.1;protein_1209,GCF_017821595.1;protein_210,GCF_002951975.1;protein_1229,GCF_006337745.1;protein_1280
GCF_002953555.1;protein_213,GCF_010917155.1;protein_3,GCF_003050665.1;protein_1222,GCF_019974055.1;protein_398,GCF_022923035.1;protein_1173,GCF_022925215.1;protein_1165,GCF_016748795.1;protein_210,GCF_017821355.1;protein_212,GCF_017821275.1;protein_209,GCF_003636855.2;protein_30,GCF_030323385.1;protein_365,GCF_002952575.1;protein_1228,GCF_017821635.1;protein_216,GCF_006337405.1;protein_1220,GCF_002952635.1;protein_1233,GCF_001653415.1;protein_267,GCF_022923775.1;protein_1234,GCF_017821475.1;protein_210,GCF_002906535.1;protein_213,GCF_051131785.1;protein_1236,GCF_020735805.1;protein_780,GCF_013122035.1;protein_388,GCF_002906555.1;protein_213,GCF_030323485.1;protein_1191,GCF_030062605.1;protein_498,GCF_022921575.1;protein_1195,GCF_022925945.1;protein_1208,GCF_017821595.1;protein_211,GCF_002951975.1;protein_1228,GCF_006337745.1;protein_1279
GCF_002953555.1;protein_214,GCF_010917155.1;protein_2,GCF_003050665.1;protein_1223,GCF_019974055.1;protein_399,GCF_022923035.1;protein_1172,GCF_022925215.1;protein_1164,GCF_016748795.1;protein_211,GCF_017821355.1;protein_213,GCF_017821275.1;protein_210,GCF_003636855.2;protein_29,GCF_030323385.1;protein_366,GCF_002952575.1;protein_1227,GCF_017821635.1;protein_217,GCF_006337405.1;protein_1219,GCF_002952635.1;protein_1232,GCF_001653415.1;protein_268,GCF_022923775.1;protein_1233,GCF_017821475.1;protein_211,GCF_002906535.1;protein_214,GCF_051131785.1;protein_1235,GCF_020735805.1;protein_781,GCF_013122035.1;protein_389,GCF_002906555.1;protein_214,GCF_030323485.1;protein_1190,GCF_030062605.1;protein_497,GCF_022921575.1;protein_1194,GCF_022925945.1;protein_1207,GCF_017821595.1;protein_212,GCF_002951975.1;protein_1227,GCF_006337745.1;protein_1278
GCF_002953555.1;protein_215,GCF_010917155.1;protein_1,GCF_003050665.1;protein_1224,GCF_019974055.1;protein_400,GCF_022923035.1;protein_1171,GCF_022925215.1;protein_1163,GCF_016748795.1;protein_212,GCF_017821355.1;protein_214,GCF_017821275.1;protein_211,GCF_003636855.2;protein_28,GCF_030323385.1;protein_367,GCF_002952575.1;protein_1226,GCF_017821635.1;protein_218,GCF_006337405.1;protein_1218,GCF_002952635.1;protein_1231,GCF_001653415.1;protein_269,GCF_022923775.1;protein_1232,GCF_017821475.1;protein_212,GCF_002906535.1;protein_215,GCF_051131785.1;protein_1234,GCF_020735805.1;protein_782,GCF_013122035.1;protein_390,GCF_002906555.1;protein_215,GCF_030323485.1;protein_1189,GCF_030062605.1;protein_496,GCF_022921575.1;protein_1193,GCF_022925945.1;protein_1206,GCF_017821595.1;protein_213,GCF_002951975.1;protein_1226,GCF_006337745.1;protein_1277
GCF_002953555.1;protein_216,GCF_010917155.1;protein_0,GCF_003050665.1;protein_1225,GCF_019974055.1;protein_401,GCF_022923035.1;protein_1169,GCF_022925215.1;protein_1161,GCF_016748795.1;protein_213,GCF_017821355.1;protein_215,GCF_017821275.1;protein_212,GCF_003636855.2;protein_27,GCF_030323385.1;protein_368,GCF_002952575.1;protein_1225,GCF_017821635.1;protein_219,GCF_006337405.1;protein_1217,GCF_002952635.1;protein_1230,GCF_001653415.1;protein_270,GCF_022923775.1;protein_1230,GCF_017821475.1;protein_213,GCF_002906535.1;protein_216,GCF_051131785.1;protein_1232,GCF_020735805.1;protein_783,GCF_013122035.1;protein_391,GCF_002906555.1;protein_216,GCF_030323485.1;protein_1187,GCF_030062605.1;protein_495,GCF_022921575.1;protein_1192,GCF_022925945.1;protein_1204,GCF_017821595.1;protein_214,GCF_002951975.1;protein_1225,GCF_006337745.1;protein_1276
GCF_002953555.1;protein_218,GCF_010917155.1;protein_1029,GCF_003050665.1;protein_694,GCF_019974055.1;protein_403,GCF_022923035.1;protein_1167,GCF_022925215.1;protein_1159,GCF_016748795.1;protein_215,GCF_017821355.1;protein_217,GCF_017821275.1;protein_214,GCF_003636855.2;protein_25,GCF_030323385.1;protein_370,GCF_002952575.1;protein_1223,GCF_017821635.1;protein_221,GCF_006337405.1;protein_1215,GCF_002952635.1;protein_1228,GCF_001653415.1;protein_272,GCF_022923775.1;protein_1228,GCF_017821475.1;protein_215,GCF_002906535.1;protein_218,GCF_051131785.1;protein_1229,GCF_020735805.1;protein_785,GCF_013122035.1;protein_393,GCF_002906555.1;protein_218,GCF_030323485.1;protein_1185,GCF_030062605.1;protein_688,GCF_022921575.1;protein_1189,GCF_022925945.1;protein_1202,GCF_017821595.1;protein_216,GCF_002951975.1;protein_1223,GCF_006337745.1;protein_1274
GCF_002953555.1;protein_219,GCF_010917155.1;protein_1028,GCF_003050665.1;protein_693,GCF_019974055.1;protein_404,GCF_022923035.1;protein_1166,GCF_022925215.1;protein_1158,GCF_016748795.1;protein_216,GCF_017821355.1;protein_218,GCF_017821275.1;protein_215,GCF_003636855.2;protein_24,GCF_030323385.1;protein_371,GCF_002952575.1;protein_1222,GCF_017821635.1;protein_222,GCF_006337405.1;protein_1214,GCF_002952635.1;protein_1227,GCF_001653415.1;protein_273,GCF_022923775.1;protein_1227,GCF_017821475.1;protein_216,GCF_002906535.1;protein_219,GCF_051131785.1;protein_1228,GCF_020735805.1;protein_786,GCF_013122035.1;protein_394,GCF_002906555.1;protein_219,GCF_030323485.1;protein_1184,GCF_030062605.1;protein_687,GCF_022921575.1;protein_1188,GCF_022925945.1;protein_1201,GCF_017821595.1;protein_217,GCF_002951975.1;protein_1222,GCF_006337745.1;protein_1273
GCF_002953555.1;protein_22,GCF_010917155.1;protein_198,GCF_003050665.1;protein_997,GCF_019974055.1;protein_159,GCF_022923035.1;protein_140,GCF_022925215.1;protein_130,GCF_016748795.1;protein_21,GCF_017821355.1;protein_21,GCF_017821275.1;protein_21,GCF_003636855.2;protein_220,GCF_030323385.1;protein_170,GCF_002952575.1;protein_1459,GCF_017821635.1;protein_21,GCF_006337405.1;protein_1497,GCF_002952635.1;protein_1464,GCF_001653415.1;protein_76,GCF_022923775.1;protein_134,GCF_017821475.1;protein_21,GCF_002906535.1;protein_21,GCF_051131785.1;protein_127,GCF_020735805.1;protein_592,GCF_013122035.1;protein_206,GCF_002906555.1;protein_21,GCF_030323485.1;protein_1383,GCF_030062605.1;protein_191,GCF_022921575.1;protein_130,GCF_022925945.1;protein_160,GCF_017821595.1;protein_21,GCF_002951975.1;protein_1460,GCF_006337745.1;protein_1470
