GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_420,GCF_002128045.1;protein_421,GCF_000319675.2;protein_422,GCF_000027345.1;protein_424,GCF_000283755.1;protein_425,GCF_002127985.1;protein_423,GCF_009947205.1;protein_422,GCF_041931765.1;protein_501,GCF_040256845.1;protein_423,GCF_002128265.1;protein_425,GCF_041931565.1;protein_616,GCF_009944725.1;protein_426,GCF_002128145.1;protein_421,GCF_001558175.1;protein_424,GCF_009942155.1;protein_424,GCF_041931755.1;protein_501,GCF_001272775.1;protein_424,GCF_009939765.1;protein_423,GCF_002355715.1;protein_424,GCF_900660465.1;protein_303,GCF_002128285.1;protein_424,GCF_009944335.1;protein_421,GCF_001272755.1;protein_422,GCF_000733995.1;protein_499,GCF_002090215.1;protein_422,GCF_000319655.2;protein_425,GCF_009947575.1;protein_423,GCF_009945865.1;protein_426,GCF_009943805.1;protein_422,GCF_002090295.1;protein_422,,,,,,,
GCF_910574535.1;protein_421,GCF_002128045.1;protein_422,GCF_000319675.2;protein_423,GCF_000027345.1;protein_425,GCF_000283755.1;protein_426,GCF_002127985.1;protein_424,GCF_009947205.1;protein_423,GCF_041931765.1;protein_502,GCF_040256845.1;protein_424,GCF_002128265.1;protein_426,GCF_041931565.1;protein_617,GCF_009944725.1;protein_427,GCF_002128145.1;protein_422,GCF_001558175.1;protein_425,GCF_009942155.1;protein_425,GCF_041931755.1;protein_502,GCF_001272775.1;protein_425,GCF_009939765.1;protein_424,GCF_002355715.1;protein_425,GCF_900660465.1;protein_302,GCF_002128285.1;protein_425,GCF_009944335.1;protein_422,GCF_001272755.1;protein_423,GCF_000733995.1;protein_500,GCF_002090215.1;protein_423,GCF_000319655.2;protein_426,GCF_009947575.1;protein_424,GCF_009945865.1;protein_427,GCF_009943805.1;protein_423,GCF_002090295.1;protein_423,,,,,,,
GCF_910574535.1;protein_422,GCF_002128045.1;protein_423,GCF_000319675.2;protein_424,GCF_000027345.1;protein_426,GCF_000283755.1;protein_427,GCF_002127985.1;protein_425,GCF_009947205.1;protein_424,GCF_041931765.1;protein_503,GCF_040256845.1;protein_425,GCF_002128265.1;protein_427,GCF_041931565.1;protein_618,GCF_009944725.1;protein_428,GCF_002128145.1;protein_423,GCF_001558175.1;protein_426,GCF_009942155.1;protein_426,GCF_041931755.1;protein_503,GCF_001272775.1;protein_426,GCF_009939765.1;protein_425,GCF_002355715.1;protein_426,GCF_900660465.1;protein_301,GCF_002128285.1;protein_426,GCF_009944335.1;protein_423,GCF_001272755.1;protein_424,GCF_000733995.1;protein_501,GCF_002090215.1;protein_424,GCF_000319655.2;protein_427,GCF_009947575.1;protein_425,GCF_009945865.1;protein_428,GCF_009943805.1;protein_424,GCF_002090295.1;protein_424,,,,,,,
GCF_910574535.1;protein_423,GCF_002128045.1;protein_424,GCF_000319675.2;protein_425,GCF_000027345.1;protein_427,GCF_000283755.1;protein_428,GCF_002127985.1;protein_426,GCF_009947205.1;protein_425,GCF_041931765.1;protein_504,GCF_040256845.1;protein_426,GCF_002128265.1;protein_428,GCF_041931565.1;protein_619,GCF_009944725.1;protein_429,GCF_002128145.1;protein_424,GCF_001558175.1;protein_427,GCF_009942155.1;protein_427,GCF_041931755.1;protein_504,GCF_001272775.1;protein_427,GCF_009939765.1;protein_426,GCF_002355715.1;protein_427,GCF_900660465.1;protein_300,GCF_002128285.1;protein_427,GCF_009944335.1;protein_424,GCF_001272755.1;protein_425,GCF_000733995.1;protein_502,GCF_002090215.1;protein_425,GCF_000319655.2;protein_428,GCF_009947575.1;protein_426,GCF_009945865.1;protein_429,GCF_009943805.1;protein_425,GCF_002090295.1;protein_425,,,,,,,
GCF_910574535.1;protein_424,GCF_002128045.1;protein_425,GCF_000319675.2;protein_426,GCF_000027345.1;protein_428,GCF_000283755.1;protein_429,GCF_002127985.1;protein_427,GCF_009947205.1;protein_426,GCF_041931765.1;protein_505,GCF_040256845.1;protein_427,GCF_002128265.1;protein_429,GCF_041931565.1;protein_620,GCF_009944725.1;protein_430,GCF_002128145.1;protein_425,GCF_001558175.1;protein_428,GCF_009942155.1;protein_428,GCF_041931755.1;protein_505,GCF_001272775.1;protein_428,GCF_009939765.1;protein_427,GCF_002355715.1;protein_428,GCF_900660465.1;protein_299,GCF_002128285.1;protein_428,GCF_009944335.1;protein_425,GCF_001272755.1;protein_426,GCF_000733995.1;protein_503,GCF_002090215.1;protein_426,GCF_000319655.2;protein_429,GCF_009947575.1;protein_427,GCF_009945865.1;protein_430,GCF_009943805.1;protein_426,GCF_002090295.1;protein_426,,,,,,,
GCF_910574535.1;protein_425,GCF_002128045.1;protein_426,GCF_000319675.2;protein_427,GCF_000027345.1;protein_429,GCF_000283755.1;protein_430,GCF_002127985.1;protein_428,GCF_009947205.1;protein_427,GCF_041931765.1;protein_506,GCF_040256845.1;protein_428,GCF_002128265.1;protein_430,GCF_041931565.1;protein_621,GCF_009944725.1;protein_431,GCF_002128145.1;protein_426,GCF_001558175.1;protein_429,GCF_009942155.1;protein_429,GCF_041931755.1;protein_506,GCF_001272775.1;protein_429,GCF_009939765.1;protein_428,GCF_002355715.1;protein_429,GCF_900660465.1;protein_298,GCF_002128285.1;protein_429,GCF_009944335.1;protein_426,GCF_001272755.1;protein_427,GCF_000733995.1;protein_504,GCF_002090215.1;protein_427,GCF_000319655.2;protein_430,GCF_009947575.1;protein_428,GCF_009945865.1;protein_431,GCF_009943805.1;protein_427,GCF_002090295.1;protein_427,,,,,,,
GCF_910574535.1;protein_426,GCF_002128045.1;protein_427,GCF_000319675.2;protein_428,GCF_000027345.1;protein_430,GCF_000283755.1;protein_431,GCF_002127985.1;protein_429,GCF_009947205.1;protein_428,GCF_041931765.1;protein_507,GCF_040256845.1;protein_429,GCF_002128265.1;protein_431,GCF_041931565.1;protein_622,GCF_009944725.1;protein_432,GCF_002128145.1;protein_427,GCF_001558175.1;protein_430,GCF_009942155.1;protein_430,GCF_041931755.1;protein_507,GCF_001272775.1;protein_430,GCF_009939765.1;protein_429,GCF_002355715.1;protein_430,GCF_900660465.1;protein_297,GCF_002128285.1;protein_430,GCF_009944335.1;protein_427,GCF_001272755.1;protein_428,GCF_000733995.1;protein_505,GCF_002090215.1;protein_428,GCF_000319655.2;protein_431,GCF_009947575.1;protein_429,GCF_009945865.1;protein_432,GCF_009943805.1;protein_428,GCF_002090295.1;protein_428,,,,,,,
GCF_910574535.1;protein_427,GCF_002128045.1;protein_428,GCF_000319675.2;protein_429,GCF_000027345.1;protein_431,GCF_000283755.1;protein_157,GCF_002127985.1;protein_430,GCF_009947205.1;protein_429,GCF_041931765.1;protein_508,GCF_040256845.1;protein_430,GCF_002128265.1;protein_156,GCF_041931565.1;protein_623,GCF_009944725.1;protein_157,GCF_002128145.1;protein_428,GCF_001558175.1;protein_431,GCF_009942155.1;protein_156,GCF_041931755.1;protein_508,GCF_001272775.1;protein_431,GCF_009939765.1;protein_430,GCF_002355715.1;protein_156,,GCF_002128285.1;protein_157,GCF_009944335.1;protein_428,GCF_001272755.1;protein_429,GCF_000733995.1;protein_506,GCF_002090215.1;protein_429,GCF_000319655.2;protein_157,GCF_009947575.1;protein_430,GCF_009945865.1;protein_158,GCF_009943805.1;protein_429,GCF_002090295.1;protein_429,,,,,,,
GCF_910574535.1;protein_43,GCF_002128045.1;protein_43,GCF_000319675.2;protein_43,GCF_000027345.1;protein_43,GCF_000283755.1;protein_43,GCF_002127985.1;protein_43,GCF_009947205.1;protein_43,GCF_041931765.1;protein_120,GCF_040256845.1;protein_43,GCF_002128265.1;protein_43,GCF_041931565.1;protein_239,GCF_009944725.1;protein_43,GCF_002128145.1;protein_43,GCF_001558175.1;protein_43,GCF_009942155.1;protein_43,GCF_041931755.1;protein_120,GCF_001272775.1;protein_43,GCF_009939765.1;protein_43,GCF_002355715.1;protein_43,GCF_900660465.1;protein_684,GCF_002128285.1;protein_43,GCF_009944335.1;protein_43,GCF_001272755.1;protein_43,GCF_000733995.1;protein_119,GCF_002090215.1;protein_43,GCF_000319655.2;protein_43,GCF_009947575.1;protein_43,GCF_009945865.1;protein_43,GCF_009943805.1;protein_43,GCF_002090295.1;protein_43,,,,,,,
GCF_910574535.1;protein_430,GCF_002128045.1;protein_432,GCF_000319675.2;protein_432,GCF_000027345.1;protein_434,GCF_000283755.1;protein_435,GCF_002127985.1;protein_433,GCF_009947205.1;protein_432,GCF_041931765.1;protein_512,GCF_040256845.1;protein_434,GCF_002128265.1;protein_435,GCF_041931565.1;protein_627,GCF_009944725.1;protein_436,GCF_002128145.1;protein_432,GCF_001558175.1;protein_435,GCF_009942155.1;protein_434,GCF_041931755.1;protein_512,GCF_001272775.1;protein_435,GCF_009939765.1;protein_434,GCF_002355715.1;protein_434,GCF_900660465.1;protein_293,GCF_002128285.1;protein_433,GCF_009944335.1;protein_432,GCF_001272755.1;protein_433,GCF_000733995.1;protein_510,GCF_002090215.1;protein_432,GCF_000319655.2;protein_435,GCF_009947575.1;protein_433,GCF_009945865.1;protein_436,GCF_009943805.1;protein_433,GCF_002090295.1;protein_432,,,,,,,
GCF_910574535.1;protein_431,GCF_002128045.1;protein_433,GCF_000319675.2;protein_433,GCF_000027345.1;protein_435,GCF_000283755.1;protein_436,GCF_002127985.1;protein_434,GCF_009947205.1;protein_433,GCF_041931765.1;protein_513,GCF_040256845.1;protein_435,GCF_002128265.1;protein_436,GCF_041931565.1;protein_628,GCF_009944725.1;protein_437,GCF_002128145.1;protein_433,GCF_001558175.1;protein_436,GCF_009942155.1;protein_435,GCF_041931755.1;protein_513,GCF_001272775.1;protein_436,GCF_009939765.1;protein_435,GCF_002355715.1;protein_435,GCF_900660465.1;protein_292,GCF_002128285.1;protein_434,GCF_009944335.1;protein_433,GCF_001272755.1;protein_434,GCF_000733995.1;protein_511,GCF_002090215.1;protein_433,GCF_000319655.2;protein_436,,GCF_009945865.1;protein_437,GCF_009943805.1;protein_434,GCF_002090295.1;protein_433,,,,,,,
GCF_002128045.1;protein_435,GCF_002128145.1;protein_435,GCF_910574535.1;protein_520,GCF_009939765.1;protein_437,GCF_001272775.1;protein_438,GCF_041931765.1;protein_515,GCF_002127985.1;protein_436,GCF_041931755.1;protein_515,GCF_041931565.1;protein_630,,GCF_009947575.1;protein_436,GCF_009944335.1;protein_435,GCF_040256845.1;protein_437,GCF_001558175.1;protein_438,GCF_900660465.1;protein_290,GCF_000027345.1;protein_437,GCF_009943805.1;protein_436,GCF_910574535.1;protein_433,GCF_000319675.2;protein_435,,,,,,,,,,,,,,,,,,
GCF_910574535.1;protein_434,GCF_002128045.1;protein_436,GCF_000319675.2;protein_436,GCF_000027345.1;protein_438,GCF_000283755.1;protein_439,GCF_002127985.1;protein_437,GCF_009947205.1;protein_436,GCF_041931765.1;protein_516,GCF_040256845.1;protein_438,GCF_002128265.1;protein_439,GCF_041931565.1;protein_631,GCF_009944725.1;protein_440,GCF_002128145.1;protein_436,GCF_001558175.1;protein_439,GCF_009942155.1;protein_438,GCF_041931755.1;protein_516,GCF_001272775.1;protein_439,GCF_009939765.1;protein_438,GCF_002355715.1;protein_438,GCF_900660465.1;protein_289,GCF_002128285.1;protein_437,GCF_009944335.1;protein_436,GCF_001272755.1;protein_437,GCF_000733995.1;protein_514,GCF_002090215.1;protein_436,GCF_000319655.2;protein_439,GCF_009947575.1;protein_437,GCF_009945865.1;protein_440,GCF_009943805.1;protein_437,GCF_002090295.1;protein_436,,,,,,,
GCF_910574535.1;protein_435,GCF_002128045.1;protein_437,GCF_000319675.2;protein_437,GCF_000027345.1;protein_439,GCF_000283755.1;protein_440,GCF_002127985.1;protein_438,GCF_009947205.1;protein_437,GCF_041931765.1;protein_517,GCF_040256845.1;protein_439,GCF_002128265.1;protein_440,GCF_041931565.1;protein_632,GCF_009944725.1;protein_441,GCF_002128145.1;protein_437,GCF_001558175.1;protein_440,GCF_009942155.1;protein_439,GCF_041931755.1;protein_517,GCF_001272775.1;protein_440,GCF_009939765.1;protein_439,GCF_002355715.1;protein_439,GCF_900660465.1;protein_288,GCF_002128285.1;protein_438,GCF_009944335.1;protein_437,GCF_001272755.1;protein_438,GCF_000733995.1;protein_515,GCF_002090215.1;protein_437,GCF_000319655.2;protein_440,GCF_009947575.1;protein_438,GCF_009945865.1;protein_441,GCF_009943805.1;protein_438,GCF_002090295.1;protein_437,,,,,,,
GCF_910574535.1;protein_436,GCF_002128045.1;protein_438,GCF_000319675.2;protein_438,GCF_000027345.1;protein_440,GCF_000283755.1;protein_441,GCF_002127985.1;protein_439,GCF_009947205.1;protein_438,GCF_041931765.1;protein_518,GCF_040256845.1;protein_440,GCF_002128265.1;protein_441,GCF_041931565.1;protein_633,GCF_009944725.1;protein_442,GCF_002128145.1;protein_438,GCF_001558175.1;protein_441,GCF_009942155.1;protein_440,GCF_041931755.1;protein_518,GCF_001272775.1;protein_441,GCF_009939765.1;protein_440,GCF_002355715.1;protein_440,GCF_900660465.1;protein_287,GCF_002128285.1;protein_439,GCF_009944335.1;protein_438,GCF_001272755.1;protein_439,GCF_000733995.1;protein_516,GCF_002090215.1;protein_438,GCF_000319655.2;protein_441,GCF_009947575.1;protein_439,GCF_009945865.1;protein_442,GCF_009943805.1;protein_439,GCF_002090295.1;protein_438,,,,,,,
GCF_910574535.1;protein_437,GCF_002128045.1;protein_439,GCF_000319675.2;protein_439,GCF_000027345.1;protein_441,GCF_000283755.1;protein_442,GCF_002127985.1;protein_440,GCF_009947205.1;protein_439,GCF_041931765.1;protein_519,GCF_040256845.1;protein_441,GCF_002128265.1;protein_442,GCF_041931565.1;protein_634,GCF_009944725.1;protein_443,GCF_002128145.1;protein_439,GCF_001558175.1;protein_442,GCF_009942155.1;protein_441,GCF_041931755.1;protein_519,GCF_001272775.1;protein_442,GCF_009939765.1;protein_441,GCF_002355715.1;protein_441,GCF_900660465.1;protein_286,GCF_002128285.1;protein_440,GCF_009944335.1;protein_439,GCF_001272755.1;protein_440,GCF_000733995.1;protein_517,GCF_002090215.1;protein_439,GCF_000319655.2;protein_442,GCF_009947575.1;protein_440,GCF_009945865.1;protein_443,GCF_009943805.1;protein_440,GCF_002090295.1;protein_439,,,,,,,
GCF_910574535.1;protein_438,GCF_002128045.1;protein_440,GCF_000319675.2;protein_440,GCF_000027345.1;protein_442,GCF_000283755.1;protein_443,GCF_002127985.1;protein_441,GCF_009947205.1;protein_440,GCF_041931765.1;protein_520,GCF_040256845.1;protein_442,GCF_002128265.1;protein_443,GCF_041931565.1;protein_635,GCF_009944725.1;protein_444,GCF_002128145.1;protein_440,GCF_001558175.1;protein_443,GCF_009942155.1;protein_442,GCF_041931755.1;protein_520,GCF_001272775.1;protein_443,GCF_009939765.1;protein_442,GCF_002355715.1;protein_442,GCF_900660465.1;protein_285,GCF_002128285.1;protein_441,GCF_009944335.1;protein_440,GCF_001272755.1;protein_441,GCF_000733995.1;protein_518,GCF_002090215.1;protein_440,GCF_000319655.2;protein_443,GCF_009947575.1;protein_441,GCF_009945865.1;protein_444,GCF_009943805.1;protein_441,GCF_002090295.1;protein_440,,,,,,,
GCF_910574535.1;protein_439,GCF_002128045.1;protein_441,GCF_000319675.2;protein_441,GCF_000027345.1;protein_443,GCF_000283755.1;protein_444,GCF_002127985.1;protein_442,GCF_009947205.1;protein_441,GCF_041931765.1;protein_521,GCF_040256845.1;protein_443,GCF_002128265.1;protein_444,GCF_041931565.1;protein_636,GCF_009944725.1;protein_445,GCF_002128145.1;protein_441,GCF_001558175.1;protein_444,GCF_009942155.1;protein_443,GCF_041931755.1;protein_521,GCF_001272775.1;protein_444,GCF_009939765.1;protein_443,GCF_002355715.1;protein_443,GCF_900660465.1;protein_284,GCF_002128285.1;protein_442,GCF_009944335.1;protein_441,GCF_001272755.1;protein_442,GCF_000733995.1;protein_519,GCF_002090215.1;protein_441,GCF_000319655.2;protein_444,GCF_009947575.1;protein_442,GCF_009945865.1;protein_445,GCF_009943805.1;protein_442,GCF_002090295.1;protein_441,,,,,,,
GCF_910574535.1;protein_44,GCF_002128045.1;protein_44,GCF_000319675.2;protein_44,GCF_000027345.1;protein_44,GCF_000283755.1;protein_44,GCF_002127985.1;protein_44,GCF_009947205.1;protein_44,GCF_041931765.1;protein_121,GCF_040256845.1;protein_44,GCF_002128265.1;protein_44,GCF_041931565.1;protein_240,GCF_009944725.1;protein_44,GCF_002128145.1;protein_44,GCF_001558175.1;protein_44,GCF_009942155.1;protein_44,GCF_041931755.1;protein_121,GCF_001272775.1;protein_44,GCF_009939765.1;protein_44,GCF_002355715.1;protein_44,GCF_900660465.1;protein_683,GCF_002128285.1;protein_44,GCF_009944335.1;protein_44,GCF_001272755.1;protein_44,GCF_000733995.1;protein_120,GCF_002090215.1;protein_44,GCF_000319655.2;protein_44,GCF_009947575.1;protein_44,GCF_009945865.1;protein_44,GCF_009943805.1;protein_44,GCF_002090295.1;protein_44,,,,,,,
GCF_910574535.1;protein_440,GCF_002128045.1;protein_442,GCF_000319675.2;protein_442,GCF_000027345.1;protein_444,GCF_000283755.1;protein_445,GCF_002127985.1;protein_443,GCF_009947205.1;protein_442,GCF_041931765.1;protein_522,GCF_040256845.1;protein_444,GCF_002128265.1;protein_445,GCF_041931565.1;protein_637,GCF_009944725.1;protein_446,GCF_002128145.1;protein_442,GCF_001558175.1;protein_445,GCF_009942155.1;protein_444,GCF_041931755.1;protein_522,GCF_001272775.1;protein_445,GCF_009939765.1;protein_444,GCF_002355715.1;protein_444,GCF_900660465.1;protein_283,GCF_002128285.1;protein_443,GCF_009944335.1;protein_442,GCF_001272755.1;protein_443,GCF_000733995.1;protein_520,GCF_002090215.1;protein_442,GCF_000319655.2;protein_445,GCF_009947575.1;protein_443,GCF_009945865.1;protein_446,GCF_009943805.1;protein_443,GCF_002090295.1;protein_442,,,,,,,
GCF_910574535.1;protein_441,GCF_002128045.1;protein_443,GCF_000319675.2;protein_443,GCF_000027345.1;protein_445,GCF_000283755.1;protein_446,GCF_002127985.1;protein_444,GCF_009947205.1;protein_443,GCF_041931765.1;protein_523,GCF_040256845.1;protein_445,GCF_002128265.1;protein_446,GCF_041931565.1;protein_638,GCF_009944725.1;protein_447,GCF_002128145.1;protein_443,GCF_001558175.1;protein_446,GCF_009942155.1;protein_445,GCF_041931755.1;protein_523,GCF_001272775.1;protein_446,GCF_009939765.1;protein_445,GCF_002355715.1;protein_445,GCF_900660465.1;protein_282,GCF_002128285.1;protein_444,GCF_009944335.1;protein_443,GCF_001272755.1;protein_444,GCF_000733995.1;protein_521,GCF_002090215.1;protein_443,GCF_000319655.2;protein_446,GCF_009947575.1;protein_444,GCF_009945865.1;protein_447,GCF_009943805.1;protein_444,GCF_002090295.1;protein_443,,,,,,,
GCF_910574535.1;protein_442,GCF_002128045.1;protein_444,GCF_000319675.2;protein_444,GCF_000027345.1;protein_446,GCF_000283755.1;protein_447,GCF_002127985.1;protein_445,GCF_009947205.1;protein_444,GCF_041931765.1;protein_524,GCF_040256845.1;protein_446,GCF_002128265.1;protein_447,GCF_041931565.1;protein_639,GCF_009944725.1;protein_448,GCF_002128145.1;protein_444,GCF_001558175.1;protein_447,GCF_009942155.1;protein_446,GCF_041931755.1;protein_524,GCF_001272775.1;protein_447,GCF_009939765.1;protein_446,GCF_002355715.1;protein_446,GCF_900660465.1;protein_281,GCF_002128285.1;protein_445,GCF_009944335.1;protein_444,GCF_001272755.1;protein_445,GCF_000733995.1;protein_522,GCF_002090215.1;protein_444,GCF_000319655.2;protein_447,GCF_009947575.1;protein_445,GCF_009945865.1;protein_448,GCF_009943805.1;protein_445,GCF_002090295.1;protein_444,,,,,,,
GCF_910574535.1;protein_443,GCF_002128045.1;protein_445,GCF_000319675.2;protein_445,GCF_000027345.1;protein_447,GCF_000283755.1;protein_448,GCF_002127985.1;protein_446,GCF_009947205.1;protein_445,GCF_041931765.1;protein_525,GCF_040256845.1;protein_447,GCF_002128265.1;protein_448,GCF_041931565.1;protein_640,GCF_009944725.1;protein_449,GCF_002128145.1;protein_445,GCF_001558175.1;protein_448,GCF_009942155.1;protein_447,GCF_041931755.1;protein_525,GCF_001272775.1;protein_448,GCF_009939765.1;protein_447,GCF_002355715.1;protein_447,GCF_900660465.1;protein_280,GCF_002128285.1;protein_446,GCF_009944335.1;protein_445,GCF_001272755.1;protein_446,GCF_000733995.1;protein_523,GCF_002090215.1;protein_445,GCF_000319655.2;protein_448,GCF_009947575.1;protein_446,GCF_009945865.1;protein_449,GCF_009943805.1;protein_446,GCF_002090295.1;protein_445,,,,,,,
GCF_910574535.1;protein_444,GCF_002128045.1;protein_446,GCF_000319675.2;protein_446,GCF_000027345.1;protein_448,GCF_000283755.1;protein_449,GCF_002127985.1;protein_447,GCF_009947205.1;protein_446,GCF_041931765.1;protein_526,GCF_040256845.1;protein_448,GCF_002128265.1;protein_449,GCF_041931565.1;protein_641,GCF_009944725.1;protein_450,GCF_002128145.1;protein_446,GCF_001558175.1;protein_449,GCF_009942155.1;protein_448,GCF_041931755.1;protein_526,GCF_001272775.1;protein_449,GCF_009939765.1;protein_448,GCF_002355715.1;protein_448,GCF_900660465.1;protein_279,GCF_002128285.1;protein_447,GCF_009944335.1;protein_446,GCF_001272755.1;protein_447,GCF_000733995.1;protein_524,GCF_002090215.1;protein_446,GCF_000319655.2;protein_449,GCF_009947575.1;protein_447,GCF_009945865.1;protein_450,GCF_009943805.1;protein_447,GCF_002090295.1;protein_446,,,,,,,
GCF_910574535.1;protein_445,GCF_002128045.1;protein_447,GCF_000319675.2;protein_447,GCF_000027345.1;protein_449,GCF_000283755.1;protein_450,GCF_002127985.1;protein_448,GCF_009947205.1;protein_447,GCF_041931765.1;protein_527,GCF_040256845.1;protein_449,GCF_002128265.1;protein_450,GCF_041931565.1;protein_642,GCF_009944725.1;protein_451,GCF_002128145.1;protein_447,GCF_001558175.1;protein_450,GCF_009942155.1;protein_449,GCF_041931755.1;protein_527,GCF_001272775.1;protein_450,GCF_009939765.1;protein_449,GCF_002355715.1;protein_449,GCF_900660465.1;protein_278,GCF_002128285.1;protein_448,GCF_009944335.1;protein_447,GCF_001272755.1;protein_448,GCF_000733995.1;protein_525,GCF_002090215.1;protein_447,GCF_000319655.2;protein_450,GCF_009947575.1;protein_448,GCF_009945865.1;protein_451,GCF_009943805.1;protein_448,GCF_002090295.1;protein_447,,,,,,,
GCF_910574535.1;protein_446,GCF_002128045.1;protein_448,GCF_000319675.2;protein_448,GCF_000027345.1;protein_450,GCF_000283755.1;protein_451,GCF_002127985.1;protein_449,GCF_009947205.1;protein_448,GCF_041931765.1;protein_528,GCF_040256845.1;protein_450,GCF_002128265.1;protein_451,GCF_041931565.1;protein_643,GCF_009944725.1;protein_452,GCF_002128145.1;protein_448,GCF_001558175.1;protein_451,GCF_009942155.1;protein_450,GCF_041931755.1;protein_528,GCF_001272775.1;protein_451,GCF_009939765.1;protein_450,GCF_002355715.1;protein_450,GCF_900660465.1;protein_277,GCF_002128285.1;protein_449,GCF_009944335.1;protein_448,GCF_001272755.1;protein_449,GCF_000733995.1;protein_526,GCF_002090215.1;protein_448,GCF_000319655.2;protein_451,GCF_009947575.1;protein_449,GCF_009945865.1;protein_452,GCF_009943805.1;protein_449,GCF_002090295.1;protein_448,,,,,,,
GCF_910574535.1;protein_447,GCF_002128045.1;protein_449,GCF_000319675.2;protein_449,GCF_000027345.1;protein_451,GCF_000283755.1;protein_452,GCF_002127985.1;protein_450,GCF_009947205.1;protein_449,GCF_041931765.1;protein_529,GCF_040256845.1;protein_451,GCF_002128265.1;protein_452,GCF_041931565.1;protein_644,GCF_009944725.1;protein_453,GCF_002128145.1;protein_449,GCF_001558175.1;protein_452,GCF_009942155.1;protein_451,GCF_041931755.1;protein_529,GCF_001272775.1;protein_452,GCF_009939765.1;protein_451,GCF_002355715.1;protein_451,GCF_900660465.1;protein_276,GCF_002128285.1;protein_450,GCF_009944335.1;protein_449,GCF_001272755.1;protein_450,GCF_000733995.1;protein_527,GCF_002090215.1;protein_449,GCF_000319655.2;protein_452,GCF_009947575.1;protein_450,GCF_009945865.1;protein_453,GCF_009943805.1;protein_450,GCF_002090295.1;protein_449,,,,,,,
GCF_910574535.1;protein_448,GCF_002128045.1;protein_450,GCF_000319675.2;protein_450,GCF_000027345.1;protein_452,GCF_000283755.1;protein_453,GCF_002127985.1;protein_451,GCF_009947205.1;protein_450,GCF_041931765.1;protein_530,GCF_040256845.1;protein_452,GCF_002128265.1;protein_453,GCF_041931565.1;protein_645,GCF_009944725.1;protein_454,GCF_002128145.1;protein_450,GCF_001558175.1;protein_453,GCF_009942155.1;protein_452,GCF_041931755.1;protein_530,GCF_001272775.1;protein_453,GCF_009939765.1;protein_452,GCF_002355715.1;protein_452,GCF_900660465.1;protein_275,GCF_002128285.1;protein_451,GCF_009944335.1;protein_450,GCF_001272755.1;protein_451,GCF_000733995.1;protein_528,GCF_002090215.1;protein_450,GCF_000319655.2;protein_453,GCF_009947575.1;protein_451,GCF_009945865.1;protein_454,GCF_009943805.1;protein_451,GCF_002090295.1;protein_450,,,,,,,
GCF_910574535.1;protein_449,GCF_002128045.1;protein_451,GCF_000319675.2;protein_451,GCF_000027345.1;protein_453,GCF_000283755.1;protein_454,GCF_002127985.1;protein_452,GCF_009947205.1;protein_451,GCF_041931765.1;protein_531,GCF_040256845.1;protein_453,GCF_002128265.1;protein_454,GCF_041931565.1;protein_646,GCF_009944725.1;protein_455,GCF_002128145.1;protein_451,GCF_001558175.1;protein_454,GCF_009942155.1;protein_453,GCF_041931755.1;protein_531,GCF_001272775.1;protein_454,GCF_009939765.1;protein_453,GCF_002355715.1;protein_453,GCF_900660465.1;protein_274,GCF_002128285.1;protein_452,GCF_009944335.1;protein_451,GCF_001272755.1;protein_452,GCF_000733995.1;protein_529,GCF_002090215.1;protein_451,GCF_000319655.2;protein_454,GCF_009947575.1;protein_452,GCF_009945865.1;protein_455,GCF_009943805.1;protein_452,GCF_002090295.1;protein_451,,,,,,,
GCF_910574535.1;protein_45,GCF_002128045.1;protein_45,GCF_000319675.2;protein_45,GCF_000027345.1;protein_45,GCF_000283755.1;protein_45,GCF_002127985.1;protein_45,GCF_009947205.1;protein_45,GCF_041931765.1;protein_122,GCF_040256845.1;protein_45,GCF_002128265.1;protein_45,GCF_041931565.1;protein_241,GCF_009944725.1;protein_45,GCF_002128145.1;protein_45,GCF_001558175.1;protein_45,GCF_009942155.1;protein_45,GCF_041931755.1;protein_122,GCF_001272775.1;protein_45,GCF_009939765.1;protein_45,GCF_002355715.1;protein_45,GCF_900660465.1;protein_682,GCF_002128285.1;protein_45,GCF_009944335.1;protein_45,GCF_001272755.1;protein_45,GCF_000733995.1;protein_121,GCF_002090215.1;protein_45,GCF_000319655.2;protein_45,GCF_009947575.1;protein_45,GCF_009945865.1;protein_45,GCF_009943805.1;protein_45,GCF_002090295.1;protein_45,,,,,,,
